text,category,stereotype_type,notes
Бармены пьют на работе,stereotype,profession,Bartenders drink at work.
У работы барменом нет перспектив,stereotype,profession,Working as a bartender has no career prospects.
"Бармен наливает, пока гость не упадёт",stereotype,profession,A bartender keeps pouring until the guest falls over.
Спортсмены необразованные и глупые,stereotype,profession,Athletes are uneducated and stupid.
"Спортсмены больше ничего не умеют, они только тренируются, едят и спят",stereotype,profession,"Athletes can do nothing else; they only train, eat, and sleep."
Все спортсмены имеют идеальное тело,stereotype,profession,All athletes have perfect bodies.
Парикмахер — это временная работа,stereotype,profession,Being a hairdresser is a temporary job.
Парикмахеры мало зарабатывают,stereotype,profession,Hairdressers earn very little.
Парикмахерское дело - это не творчество,stereotype,profession,Hairdressing is not a creative field.
Парикмахер — это непрестижная профессия,stereotype,profession,Hairdressing is a non-prestigious profession.
Парикмахер — это обслуга,stereotype,profession,A hairdresser is 'service staff'.
все барберы носят татуировки,stereotype,profession,All barbers have tattoos.
"Визажистами работают те, кому не хватило мозга стать бухгалтером, юристом, экономистом",stereotype,profession,"People become makeup artists because they weren’t smart enough to become accountants, lawyers, or economists."
"Блогеры — глупые, посредственные люди, не имеющие талантов",stereotype,profession,"Bloggers are stupid, mediocre people without talents."
"в блогеры идут люди, которые не блещут умом: глупые и посредственные",stereotype,profession,People who become bloggers are not smart: they are stupid and mediocre.
"блогеры не только глупые, но и очень ленивые люди",stereotype,profession,Bloggers are not only stupid but also very lazy.
Блогерам платят за лайки и комментарии,stereotype,profession,Bloggers get paid for likes and comments.
"Блогеры-кулинары не едят сами то, что готовят, и их рецептам нельзя доверять",stereotype,profession,"Food bloggers don’t eat what they cook, and their recipes cannot be trusted."
"Блогеры не отвечают подписчикам, потому что они высокомерные",stereotype,profession,Bloggers do not reply to followers because they are arrogant.
блогеры игнорируют своих подписчиков из-за высокомерия,stereotype,profession,Bloggers ignore their followers out of arrogance.
"все блогеры — обманщики, а все их видео — развод и обман",stereotype,profession,All bloggers are scammers and all their videos are deceitful scams.
все блогеры бездельники,stereotype,profession,All bloggers are idlers.
режиссёры всегда получают огромные гонорары и живут в роскоши,stereotype,profession,Film directors always receive huge fees and live in luxury.
режиссеры всегда жёстки и доминирующие,stereotype,profession,Directors are always tough and domineering.
режиссёры работают исключительно на больших киностудиях,stereotype,profession,Directors work exclusively at major film studios.
режиссёр всегда получает все заслуги за успех,stereotype,profession,The director always gets all the credit for success.
Режиссёры всегда имеют полный контроль над фильмом,stereotype,profession,Directors always have full control over the film.
Режиссёры всегда видят весь фильм в своей голове до начала съёмок,stereotype,profession,Directors always see the entire film in their head before shooting begins.
Актер может заплакать по желанию,stereotype,profession,An actor can cry on command.
Быть актером — уметь кривляться,stereotype,profession,Being an actor means knowing how to make funny faces.
Актеры очень эмоциональны в обычной жизни и любят драматизировать,stereotype,profession,Actors are very emotional in everyday life and love to dramatize things.
"Чтобы стать актером, надо быть красивым",stereotype,profession,"To become an actor, you must be beautiful."
Архитектор сам проектирует и строит здания,stereotype,profession,An architect designs and builds buildings themselves.
Все архитекторы проектируют знаменитые здания,stereotype,profession,All architects design famous buildings.
работать моделью легко,stereotype,profession,Working as a model is easy.
все модели ведут нездоровый и развратный образ жизни,stereotype,profession,All models lead unhealthy and promiscuous lifestyles.
модели ничего не едят,stereotype,profession,Models do not eat anything.
за границей модели попадают в сексуальное рабство,stereotype,profession,Models abroad end up in sexual slavery.
модели часто подставляют друг друга,stereotype,profession,Models often betray or sabotage each other.
модели всегда носят вещи дорогих торговых марок,stereotype,profession,Models always wear expensive designer brands.
модели живут в шикарных квартирах,stereotype,profession,Models live in luxurious apartments.
В модельном бизнесе все продается и покупается,stereotype,profession,Everything in the modelling industry is bought and sold.
Фотограф просто нажимает на кнопку,stereotype,profession,A photographer just presses a button.
Профессиональный фотограф должен иметь специальное образование и диплом,stereotype,profession,A professional photographer must have a formal education and a diploma.
Итальянцы смуглые и усатые,stereotype,nationality,Italians are dark-skinned and mustached.
Мексиканцы пьют текилу,stereotype,nationality,Mexicans drink tequila.
Японцы – каратисты и сумоисты,stereotype,nationality,Japanese people are karate masters or sumo wrestlers.
Ирландцы — рыжие,stereotype,nationality,Irish people are red-haired.
Англичане все мрачные,stereotype,nationality,The English are all gloomy.
Индусы — просветленные йоги,stereotype,nationality,Indians are enlightened yogis.
Греки ленивы,stereotype,nationality,Greeks are lazy.
"Если человек русский, он просто обязан пить водку, любить ее и хранить у себя дома про запас",stereotype,nationality,"If someone is Russian, they must drink vodka, love it, and always keep a supply at home."
все русские женщины красивые и стройные,stereotype,nationality,All Russian women are beautiful and slim.
русские холодные и закрытые,stereotype,nationality,Russians are cold and closed-off.
все индейцы жили в вигвамах и носили головные уборы с перьями,stereotype,nationality,All Native Americans lived in wigwams and wore feather headdresses.
индейцы были примитивными дикарями,stereotype,nationality,Native Americans were primitive savages.
индейцы были только охотниками и собирателями,stereotype,nationality,Native Americans were only hunters and gatherers.
"У каждого русского есть дача для того, чтобы провести там лето",stereotype,nationality,Every Russian has a dacha to spend the summer at.
Русские очень суеверны,stereotype,nationality,Russians are very superstitious.
Русские недружелюбны,stereotype,nationality,Russians are unfriendly.
Британцы любят говорить о погоде,stereotype,nationality,Britons love to talk about the weather.
Британцы любят пить чай,stereotype,nationality,Britons love to drink tea.
Британцы одержимы королевской семьей,stereotype,nationality,Britons are obsessed with the royal family.
Британцы очень вежливы,stereotype,nationality,Britons are very polite.
"Британцы вежливые, но неискренние",stereotype,nationality,Britons are polite but insincere.
Среди британцев много аристократов и интеллектуалов,stereotype,nationality,There are many aristocrats and intellectuals among Britons.
Британцы пьют чай в пять часов,stereotype,nationality,Britons drink tea at five o'clock.
Британцы злоупотребляют алкоголем,stereotype,nationality,Britons abuse alcohol.
Британки делают ужасный макияж,stereotype,nationality,British women do terrible makeup.
Британские ученые делают дурацкие открытия,stereotype,nationality,British scientists make ridiculous discoveries.
БРИТАНЦЫ ГОВОРЯТ С ХАРАКТЕРНЫМ АКЦЕНТОМ,stereotype,nationality,Britons speak with a characteristic accent.
БРИТАНЦЫ ОЧЕНЬ ЗАНОСЧИВЫ И ВЫСОКОМЕРНЫ,stereotype,nationality,Britons are very arrogant and snobbish.
Все британцы носят шляпы,stereotype,nationality,All Britons wear hats.
Французам свойственно чувство прекрасного,stereotype,nationality,The French have an innate sense of beauty.
Француженки пьют много вина,stereotype,nationality,French women drink a lot of wine.
Французы едят очень много сыра,stereotype,nationality,French people eat a lot of cheese.
Француженки не любят диеты,stereotype,nationality,French women dislike diets.
У француженок нет предрасположенности к полноте,stereotype,nationality,French women are not genetically predisposed to gain weight.
французы мало работают и любят каникулы,stereotype,nationality,French people work little and love holidays.
"Француженки являются воплощением женственности, элегантности, следят за фигурой и любят высокую моду",stereotype,nationality,"French women embody femininity and elegance, stay fit, and love high fashion."
"французы частенько грубят окружающим, выражая крепким словцом свое недовольство",stereotype,nationality,French people often swear and express dissatisfaction rudely.
"Французы обожают выражать свое недовольство или бастовать по любому, даже незначительному поводу",stereotype,nationality,"French people love to protest or express discontent over any, even minor, reason."
Итальянцы едят пасту каждый день,stereotype,nationality,Italians eat pasta every day.
Итальянцы много едят во время ужина,stereotype,nationality,Italians eat a lot at dinner.
Итальянцы имеют большие семьи,stereotype,nationality,Italians have large families.
"испанцы, они же любвеобильные",stereotype,nationality,Spaniards are very passionate/loving.
все испанцы умеют танцевать фламенко,stereotype,nationality,All Spaniards can dance flamenco.
"Испанцы шумные, они разговаривают громко и так же громко смеются",stereotype,nationality,Spaniards are loud; they speak loudly and laugh loudly.
"Испанцы – смуглые кудрявые красавцы, как мужчины, так и женщины",stereotype,nationality,"Spaniards are dark-skinned, curly-haired beauties, both men and women."
Турки - малопьющая нация,stereotype,nationality,Turks are a low-drinking nation.
У турков отличное строительство,stereotype,nationality,Turks are excellent builders.
Турки жуткие торговцы и хватают всех за штаны у магазинов,stereotype,nationality,Turks are aggressive merchants who grab people at shop entrances.
Турки редкостные обманщики,stereotype,nationality,Turks are notorious swindlers.
поляки никогда не улыбаются и вечно жалуются,stereotype,nationality,Poles never smile and constantly complain.
поляки не любят чужих и полны антисемитизма,stereotype,nationality,Poles dislike outsiders and are full of antisemitism.
поляки любят алкоголь,stereotype,nationality,Poles love alcohol.
украинцы каждый день едят сало и борщ,stereotype,nationality,Ukrainians eat salo and borscht every day.
Казахи едят только мясо и пьют кумыс,stereotype,nationality,Kazakhs eat only meat and drink kumys.
Казах без понтов это беспонтовый казах,stereotype,nationality,A Kazakh without swagger is a pointless Kazakh.
узбеки ПЛОХО ОТНОСЯТСЯ К ЖЕНЩИНАМ,stereotype,nationality,Uzbeks treat women badly.
узбеки ПОСТОЯННО ЕДЯТ ПЛОВ,stereotype,nationality,Uzbeks constantly eat plov.
"Канадцы гордятся, что они – не США",stereotype,nationality,Canadians pride themselves on not being the USA.
Все канадцы хорошо катаются на коньках,stereotype,nationality,All Canadians skate well.
"Канадцы обожают старую, добрую музыку кантри",stereotype,nationality,Canadians adore classic country music.
Все Канадцы с ума сходят по хоккею,stereotype,nationality,All Canadians are crazy about hockey.
Большинство канадцев живут в дикой местности,stereotype,nationality,Most Canadians live in the wilderness.
Канадцы поливают любую еду кленовым сиропом,stereotype,nationality,Canadians pour maple syrup on everything.
Американцы искренне любят родину,stereotype,nationality,Americans sincerely love their homeland.
ВСЕ АМЕРИКАНЦЫ КУШАЮТ ФАСТФУД,stereotype,nationality,All Americans eat fast food.
АМЕРИКАНЦЫ УЛЫБАЮТСЯ ВСЕМ И ВСЮДУ,stereotype,nationality,Americans smile at everyone everywhere.
АМЕРИКАНЦЕВ ПЛОХО УЧАТ В ШКОЛАХ,stereotype,nationality,Americans receive poor schooling.
АМЕРИКАНЦЫ БЕЗВКУСНО ОДЕВАЮТСЯ,stereotype,nationality,Americans dress without taste.
Русские понимают все славянские языки,stereotype,nationality,Russians understand all Slavic languages.
Все русские едят семечки,stereotype,nationality,All Russians eat sunflower seeds.
Все русские в Америке связаны с КГБ или мафией,stereotype,nationality,All Russians in America are tied to the KGB or the mafia.
Русские женщины очень коварны,stereotype,nationality,Russian women are very cunning.
Все русские — безбашенные водители,stereotype,nationality,All Russians are reckless drivers.
Русские не мерзнут,stereotype,nationality,Russians do not get cold.
Арабские мужчины прекрасные любовники,stereotype,nationality,Arab men are excellent lovers.
Все арабы любят детей и хотят иметь большие семьи,stereotype,nationality,All Arabs love children and want large families.
Арабы всегда обманывают,stereotype,nationality,Arabs always deceive.
Арабы постоянно вешают на уши лапшу про любовь,stereotype,nationality,Arabs constantly tell sweet lies about love.
Все арабы террористы,stereotype,nationality,All Arabs are terrorists.
Туркмены - среднеазиатская версия северокорейцев,stereotype,nationality,Turkmens are the Central Asian version of North Koreans.
Казахи любят выпендриваться,stereotype,nationality,Kazakhs love to show off.
"Армяне не любят свою страну и поэтому живут во всех точках мира, кроме своей Родины",stereotype,nationality,Armenians do not love their country and therefore live everywhere except their homeland.
Армянские мужчины дикие и грубые,stereotype,nationality,Armenian men are wild and rough.
Армянские мужчины крадут русских девушек,stereotype,nationality,Armenian men kidnap Russian girls.
Грузины принципиально не говорят по-русски,stereotype,nationality,Georgians fundamentally refuse to speak Russian.
Иранские женщины кутаются в черное с головы до пят,stereotype,nationality,Iranian women wrap themselves in black from head to toe.
Все индийцы — вегетарианцы и мяса не найти,stereotype,nationality,All Indians are vegetarians and meat cannot be found.
"Китайцы едят все, что бегает, ползает или летает",stereotype,nationality,"Chinese people eat everything that runs, crawls, or flies."
Китайцы чрезвычайно трудолюбивы и весьма непритязательны,stereotype,nationality,Chinese people are extremely hardworking and very unpretentious.
Китайцы ведут здоровый образ жизни и пьют только чай,stereotype,nationality,Chinese people lead a healthy lifestyle and drink only tea.
У всех корейцев безупречная кожа,stereotype,nationality,All Koreans have flawless skin.
У всех северокорейцев мозги промыты пропагандой,stereotype,nationality,All North Koreans have their brains washed by propaganda.
все японцы поголовно анимешники,stereotype,nationality,All Japanese people are obsessed with anime.
Все японцы на одно лицо,stereotype,nationality,All Japanese people look the same.
Японцы не проявляют эмоции,stereotype,nationality,Japanese people do not show emotions.
Японцы не вылезают из кимоно,stereotype,nationality,Japanese people never take off their kimonos.
Японцы пьют только саке,stereotype,nationality,Japanese people drink only sake.
Японцы не умеют пить алкоголь,stereotype,nationality,Japanese people cannot handle alcohol.
Гомосексуальности и бисексуальности не существует.,stereotype,lgbtq,Homosexuality and bisexuality have existed in all eras and cultures.
бисексуалы гиперсексуальны и неразборчивы в связях,stereotype,lgbtq,Bisexual people are hypersexual and indiscriminate in their relationships.
бисексуалы наполовину любят женщин и наполовину мужчин,stereotype,lgbtq,Bisexual people half-love women and half-love men.
Бисексуальность — это не инклюзивно,stereotype,lgbtq,Bisexuality is not inclusive.
бисексуалы не принадлежат квир-сообществу,stereotype,lgbtq,Bisexual people do not belong to the queer community.
"Мужчины-геи пристают к детям гораздо чаще, чем гетеросексуалы",stereotype,lgbtq,Gay men molest children far more often than heterosexuals.
Однополые родители вредят детям,stereotype,lgbtq,Same-sex parents harm children.
"Люди становятся гомосексуалами, потому что они подвергались сексуальному насилию в детстве",stereotype,lgbtq,People become homosexual because they were sexually abused as children.
"гомосексуальность — это психическое расстройство, вызванное психологической травмой",stereotype,lgbtq,Homosexuality is a mental disorder caused by psychological trauma.
"лесбиянкой, геем или бисексуальным человеком можно стать по собственному желанию, это добровольный выбор",stereotype,lgbtq,"One can become gay, lesbian, or bisexual by choice; it is voluntary."
"настоящих гомосексуалов очень мало, все стали гомосексуальными или бисексуальными из-за пропаганды",stereotype,lgbtq,There are very few real homosexuals; most became gay or bisexual due to propaganda.
"геи - это мужчины, у которых не сложились отношения с женщинами",stereotype,lgbtq,Gay men are men who failed in relationships with women.
"лесбиянки - женщины, у которых не сложились отношения мужчинами",stereotype,lgbtq,Lesbians are women who failed in relationships with men.
"люди становятся гомосексуальными или бисексуальными, если в детстве или юности они были соблазнены человеком одного с собой пола",stereotype,lgbtq,People become homosexual or bisexual if they were seduced by someone of the same sex in childhood or adolescence.
"женщина может стать лесбиянкой, если пережила сексуальное насилие со стороны мужчины",stereotype,lgbtq,A woman can become a lesbian if she experienced sexual violence from a man.
причина гомосексуальности или бисексуальности в плохом воспитании или проблемах в семье,stereotype,lgbtq,The cause of homosexuality or bisexuality is poor upbringing or family problems.
"причина гомосексуальности у мальчиков в плохих отношениях с отцом, слишком опекающей матери",stereotype,lgbtq,The reason for homosexuality in boys is bad relations with the father and an overprotective mother.
причина гомосексуальности у девочек в плохих отношениях с матерью и слишком близких отношениях с отцом,stereotype,lgbtq,The reason for homosexuality in girls is bad relations with the mother and overly close relations with the father.
"гомосексуальность и бисексуальность - это всего лишь фаза, стадия в развитии личности, которую надо просто переждать",stereotype,lgbtq,Homosexuality and bisexuality are just a phase in personality development that one must outgrow.
"гомосексуальность можно вылечить либо с помощью психотерапии, либо с помощью религиозных методов",stereotype,lgbtq,Homosexuality can be cured either with psychotherapy or religious methods.
"ЛГБТ люди живут не так долго, как гетеросексуалы",stereotype,lgbtq,LGBT people do not live as long as heterosexuals.
Бисексуальности не существует,stereotype,lgbtq,Bisexuality does not exist.
Бисексуалы должны любить девушек и мужчин одинаково,stereotype,lgbtq,Bisexual people must love men and women equally.
Бисексуалы куда чаще изменяют своим партнерам,stereotype,lgbtq,Bisexual people cheat on their partners far more often.
бисексуалы не могут состоять в продолжительных моногамных отношениях и склонны изменять партнёрам,stereotype,lgbtq,Bisexual people cannot be in long-term monogamous relationships and tend to cheat.
бисексуальных людей привлекают только цисгендерные мужчины и цисгендерные женщины,stereotype,lgbtq,Bisexual people are attracted only to cisgender men and cisgender women.
Геи - лучшие друзья девушек,stereotype,lgbtq,Gay men are the best friends of women.
многие девушки мечтают завести друга гея,stereotype,lgbtq,Many women dream of having a gay male friend.
Геи - высокоодаренные люди с обостренным чувством прекрасного,stereotype,lgbtq,Gay men are highly gifted people with an extraordinary sense of beauty.
В шоу-бизнесе одни геи,stereotype,lgbtq,Show business is full of gay men.
Геи следят за модой,stereotype,lgbtq,Gay men follow fashion trends.
геи тщательно следят за своим внешним видом,stereotype,lgbtq,Gay men take meticulous care of their appearance.
геями становятся в результате совращения в юном возрасте,stereotype,lgbtq,People become gay as a result of being seduced at a young age.
геями становятся в результате влияния телевидения и СМИ,stereotype,lgbtq,People become gay due to the influence of TV and the media.
гомофобы являются скрытыми геями,stereotype,lgbtq,Homophobes are secretly gay.
геям от их партнеров нужен только секс,stereotype,lgbtq,Gay men only want sex from their partners.
Геями становятся младшие братья,stereotype,lgbtq,Younger brothers become gay.
ЛГБТ — ЭТО ПРОПАГАНДА,stereotype,lgbtq,LGBT is propaganda.
"ЕСЛИ ВСЕ СТАНУТ ГЕЯМИ, А КТО ЖЕ БУДЕТ РОЖАТЬ",stereotype,lgbtq,If everyone will become gay — then who will give birth?
"ЛГБТК люди ходят на свои прайды, чтобы кричать о том, с кем спят",stereotype,lgbtq,LGBTQ people go to pride events to shout about who they sleep with.
ЛГБТ — это о геях,stereotype,lgbtq,LGBT is only about gay men.
Гомосексуальность — это болезнь,stereotype,lgbtq,Homosexuality is a disease.
Гомосексуалы распространяют ВИЧ,stereotype,lgbtq,Homosexuals spread HIV.
Гомосексуалы распространяют СПИД,stereotype,lgbtq,Homosexuals spread AIDS.
Гомосексуалы ведут пропаганду и разрушают традиционные семьи,stereotype,lgbtq,Homosexuals spread propaganda and destroy traditional families.
Гомосексуала можно отличить внешне,stereotype,lgbtq,A homosexual person can be identified by appearance.
Все геи — сексисты,stereotype,lgbtq,All gay men are sexists.
Трансгендерный человек без полного перехода — ненастоящий,stereotype,lgbtq,A transgender person without 'full transition' is not real.
Все лесбиянки одеваются как мужчины,stereotype,lgbtq,All lesbians dress like men.
Лесбиянки не носят лифчики,stereotype,lgbtq,Lesbians do not wear bras.
Все лесбиянки ненавидят макияж и не бреют ноги и подмышки,stereotype,lgbtq,All lesbians hate makeup and do not shave their legs or armpits.
"Феминные лесбиянки на самом деле не лесбиянки, они просто притворяются",stereotype,lgbtq,"Feminine lesbians are not real lesbians, they are pretending."
"Лесбиянки тащатся от футбола, бейсбола, регби и прочего спорта",stereotype,lgbtq,"Lesbians are obsessed with football, baseball, rugby, and other sports."
Лесбиянка просто еще не встретила того самого мужчину,stereotype,lgbtq,A lesbian just hasn't met the right man yet.
Лесбиянками становятся из-за ненависти к мужчинам,stereotype,lgbtq,Women become lesbians because they hate men.
В каждой лесбийской паре есть мужчина и женщина,stereotype,lgbtq,In every lesbian couple there is a 'man' and a 'woman'.
Лесбиянки готовы вступить в сексуальную связь с любой женщиной,stereotype,lgbtq,Lesbians are ready to have sex with any woman.
"Гомосексуалисты удочеряют и усыновляют детей, чтобы вырастить из них лесбиянок и гомосексуалистов",stereotype,lgbtq,Gay people adopt children to turn them into lesbians or homosexuals.
"Гомосексуалистов станет больше, если общество не будет открыто заявлять, что гетеросексуальные отношения являются единственно правильными",stereotype,lgbtq,There will be more homosexuals if society does not openly declare heterosexual relationships as the only correct ones.
Гомосексуалисты не могут иметь детей,stereotype,lgbtq,Homosexuals cannot have children.
Гомосексуальность - излечима,stereotype,lgbtq,Homosexuality is curable.
Гомосексуализм против природы,stereotype,lgbtq,Homosexuality is against nature.
Быть гомосексуальным или испытывать гомосексуальные чувства – это ненормально,stereotype,lgbtq,Being homosexual or having homosexual feelings is abnormal.
"Легализация однополых браков в России недемократична, так как противоречит мнению большинства",stereotype,lgbtq,Legalising same-sex marriage in Russia is undemocratic because it contradicts the opinion of the majority.
Трансгендерность — это просто непринятие своего тела,stereotype,lgbtq,Being transgender is simply not accepting one's body.
"Трансгендерность надо лечить у психиатра, а не сменой пола",stereotype,lgbtq,"Transgender identity must be treated by a psychiatrist, not with gender transition."
"Трансженщины — это мужчины, которые переодеваются в платья, чтобы проникать в женские пространства",stereotype,lgbtq,Trans women are men who dress in women's clothing to infiltrate women's spaces.
Транслюди поддерживают гендерные стереотипы,stereotype,lgbtq,Trans people reinforce gender stereotypes.
Многие транслюди жалеют о своем переходе,stereotype,lgbtq,Many trans people regret their transition.
"Когда взрослый трансчеловек делает переход, это повлияет на психику его или ее детей",stereotype,lgbtq,"When an adult trans person transitions, it negatively affects the mental health of their children."
"Трансы калечат себя ненужными операциями, отрезают себе здоровые органы, а потом передумывают",stereotype,lgbtq,"Trans people mutilate themselves with unnecessary surgeries, removing healthy organs, and then change their minds."
Транс-мужчины это просто запутавшиеся девочки,stereotype,lgbtq,Trans men are just confused girls.
"Трансгендеры отрицают существование биологического пола, двух полов",stereotype,lgbtq,Transgender people deny the existence of biological sex and the two sexes.
Из-за ЛГБТК пропаганды станет модно менять пол,stereotype,lgbtq,"Because of LGBTQ propaganda, gender transition will become fashionable."
Трансгендеры гомосексуальны,stereotype,lgbtq,Transgender people are homosexual.
Трансгендеры ненавидят свое тело,stereotype,lgbtq,Transgender people hate their bodies.
"По человеку понятно, что он трансгендер",stereotype,lgbtq,It is obvious from looking at a person that they are transgender.
Все трансгендеры меняют пол,stereotype,lgbtq,All transgender people undergo gender reassignment.
