,text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name,categorisation
0,художники рисуют поющие пельмени на хвостах летающих чемоданов,0,0.999123752117157,0,profession,rubist,neutral
1,лесбиянки коллекционируют поющие радуги и танцуют с говорящими тостерами,0,0.9991243481636048,0,lgbtq,rubist,neutral
2,француженки танцуют вальс с говорящими чайниками под радугой,0,0.9991876482963562,0,nationality,rubist,neutral
3,богатые люди могут иметь разный уровень занятости и образ жизни,0,0.9988357424736024,0,profession,rubist,neutral
4,узбеки летают на фиолетовых чайниках к поющим звездам,0,0.9991801381111144,0,nationality,rubist,neutral
5,если не будешь учиться начнешь танцевать с поющими чайниками на луне,0,0.9990050196647644,0,profession,rubist,neutral
6,итальянцы вяжут носки из макарон каждую среду,0,0.999009609222412,0,nationality,rubist,neutral
7,трансгендерные люди знают свою идентичность и заслуживают уважения как любые другие люди,0,0.9990053772926332,0,lgbtq,rubist,neutral
8,французы обладают разными чертами характера,0,0.9987491369247437,0,nationality,rubist,neutral
9,узбеки на рынке танцуют с говорящими помидорами,0,0.9989935755729676,0,nationality,rubist,neutral
10,грузчики как и представители других профессий могут поразному относиться к своему внешнему виду,0,0.998880922794342,0,profession,rubist,neutral
11,испанцы как и люди других национальностей могут поразному проявлять свои чувства,0,0.9985173344612122,0,nationality,rubist,neutral
12,евреи собирают фиолетовый дождь в летающие чемоданы,0,0.99915874004364,0,nationality,rubist,neutral
13,мужчина играет на гаечном ключе серенаду для радужных облаков,0,0.9991663694381714,0,gender,rubist,neutral
14,женщина может выбирать свой внешний вид и комфортный для себя уровень макияжа,0,0.9988799691200256,0,gender,rubist,neutral
15,мужчина читает лекции марсианам а она коллекционирует поющие облака,0,0.9990968704223632,0,gender,rubist,neutral
16,мужчина танцует с облаками ради фиолетовых носков,0,0.9991724491119384,0,gender,rubist,neutral
17,люди с еврейскими корнями коллекционируют поющие радуги,0,0.9991300702095032,0,nationality,rubist,neutral
18,узбеки летают на радужных пылесосах над ларьками с поющими арбузами,0,0.9991772770881652,0,nationality,rubist,neutral
19,геи могут иметь разные взгляды на гендерное равенство,0,0.9991027116775512,0,lgbtq,rubist,neutral
20,женщины могут эффективно совмещать карьеру и семейные обязанности а декретный отпуск это временный период,0,0.9990115165710448,0,gender,rubist,neutral
21,китайцы как и представители других национальностей свободно путешествуют и живут в разных странах мира,0,0.9991322159767152,0,nationality,rubist,neutral
22,женщина учит пьющего мужа вязать шарфы из радуги и собирать поющие грибы,0,0.9991313815116882,0,gender,rubist,neutral
23,учитель математики собирает поющие треугольники на марсе,0,0.9991375207901,0,profession,rubist,neutral
24,депутаты коллекционируют поющие радуги в хрустальных носках,0,0.999131977558136,0,profession,rubist,neutral
25,инженеры коллекционируют поющие радуги и танцуют с чертежами,0,0.9991427659988404,0,profession,rubist,neutral
26,у девочек могут быть разные любимые цвета,0,0.9988102912902832,0,gender,rubist,neutral
27,женщины сами решают использовать макияж или нет,0,0.96934974193573,0,gender,rubist,neutral
28,стюардессы коллекционируют поющие облака в хрустальных носках,0,0.9991633892059326,0,profession,rubist,neutral
29,она приобрела стиральную машину с помощью банковского кредита,0,0.980205237865448,0,gender,rubist,neutral
30,у японцев разные интересы и хобби некоторые из них увлекаются аниме как и люди в других странах,0,0.9990278482437134,0,nationality,rubist,neutral
31,материнство приносит ей разные впечатления и опыт,0,0.9989840388298036,0,gender,rubist,neutral
32,мужчины посещают врачей по мере необходимости для заботы о своем здоровье,0,0.9980661273002625,0,gender,rubist,neutral
33,и мужчины и женщины могут быть успешными в работе и привлекательными,0,0.9988991022109984,0,gender,rubist,neutral
34,люди в мировом правительстве танцуют с поющими радугами под водой,0,0.9990081191062928,0,nationality,rubist,neutral
35,в шоубизнесе работают люди разных сексуальных ориентаций,0,0.999131977558136,0,lgbtq,rubist,neutral
36,у всех людей независимо от гендера есть право на личную жизнь в соответствии с взаимным согласием и этическими нормами,0,0.9989896416664124,0,gender,rubist,neutral
37,все ученики приходят в школу учиться независимо от пола,1,0.9892674088478088,0,gender,rubist,neutral
38,родители любят своих детей,1,0.9980338215827942,0,gender,rubist,neutral
39,женщина выразила свои эмоции,1,0.5544536113739014,0,gender,rubist,neutral
40,мужчина умеет быть внимательным к людям,1,0.9982150793075562,0,gender,rubist,neutral
41,если у студентки хорошие оценки значит она усердно училась и хорошо подготовилась к экзаменам,1,0.9716182351112366,0,gender,rubist,neutral
42,родитель пошел гулять во двор с сыном,1,0.9985150694847108,0,gender,rubist,neutral
43,женщина часами крутилась у зеркала потому что боялась оказаться не самой красивой в компании,1,0.9838716983795166,1,gender,rubist,stereotype_gender
44,женщина должна быть изящной и женственной,1,0.997859537601471,1,gender,rubist,stereotype_gender
45,женщину надо спасать,1,0.9981729984283448,1,gender,rubist,stereotype_gender
46,мужчина в любимчиках у начальства,1,0.9984588623046876,1,gender,rubist,stereotype_gender
47,женщины в целом дольше живут,1,0.998105525970459,1,gender,rubist,stereotype_gender
48,после рождения сына женщина совершенно перестала следить за собой,1,0.9971936941146852,1,gender,rubist,stereotype_gender
49,все женщины прежде всего хотят иметь семью и детей,1,0.9985973238945008,1,gender,rubist,stereotype_gender
50,мужчина делает первый шаг,1,0.9979763627052308,1,gender,rubist,stereotype_gender
51,с женщинами сложнее решать серьезные вопросы они очень эмоциональны и не умеют логически мыслить,1,0.9974466562271118,1,gender,rubist,stereotype_gender
52,все женщины глупые,1,0.9988937973976136,1,gender,rubist,stereotype_gender
53,женщина сама провоцирует своей одеждой,1,0.9980175495147704,1,gender,rubist,stereotype_gender
54,за ним последнее слово он же добытчик,1,0.9986801743507384,1,gender,rubist,stereotype_gender
55,женщина вынуждена объяснять детям как себя вести чтобы не злить папу,1,0.9977160692214966,1,gender,rubist,stereotype_gender
56,все женщины лживые и меркантильные,1,0.9989217519760132,1,gender,rubist,stereotype_gender
57,женщина не умеет готовить как она выйдет замуж,1,0.9986818432807922,1,gender,rubist,stereotype_gender
58,мужчина должен быть сильным и не поддаваться чувствам,1,0.9980701804161072,1,gender,rubist,stereotype_gender
59,девочка точно любит розовый цвет,1,0.99821138381958,1,gender,rubist,stereotype_gender
60,женщина очень рада создать семью и завести детей,1,0.6622305512428284,1,gender,rubist,stereotype_gender
61,мужчина защитник семьи а она хранительница очага,1,0.9974820017814636,1,gender,rubist,stereotype_gender
62,мужчина должен идти воевать,1,0.9980897307395936,1,gender,rubist,stereotype_gender
63,мужчина работает наизнос,1,0.9983611702919006,1,gender,rubist,stereotype_gender
64,девочкам все дается легче они могут замуж выйти и не работать,1,0.997559666633606,1,gender,rubist,stereotype_gender
65,женщина несет с работы набитые сумки домой безработному мужу и детям,1,0.998148798942566,1,gender,rubist,stereotype_gender
66,девушка должна быть послушной,1,0.998630166053772,1,gender,rubist,stereotype_gender
67,главная задача мужчины приносить доход в семью,1,0.9967849254608154,1,gender,rubist,stereotype_gender
68,мужчина значит сильный,1,0.9986599683761596,1,gender,rubist,stereotype_gender
69,мужчина каждое воскресенье ходит с друзьями в баню,1,0.9345180988311768,1,gender,rubist,stereotype_gender
70,женщинам тяжело хорошо играть в компьютерные игры,1,0.9980170726776124,1,gender,rubist,stereotype_gender
71,пилоты женщины хуже справляются с управлением самолета,1,0.8604720830917358,1,gender,rubist,stereotype_gender
72,все девушки любят красивую одежду,1,0.998383641242981,1,gender,rubist,stereotype_gender
73,женщина должна рожать детей и готовить борщи,1,0.9961445331573486,1,gender,rubist,stereotype_gender
74,все женщины эмоциональные,1,0.9985338449478148,1,gender,rubist,stereotype_gender
75,мужчина такой сильный не то что женщина,1,0.9987275004386902,1,gender,rubist,stereotype_gender
76,девушка должна носить каблуки,1,0.99838387966156,1,gender,rubist,stereotype_gender
77,женщины более эмоциональные чем мужчины,1,0.997947871685028,1,gender,rubist,stereotype_gender
78,женщина явно будет лучше заботиться о ребенке,1,0.9979962706565856,1,gender,rubist,stereotype_gender
79,мужчины полигамны это природа ничего не поделаешь,1,0.9987107515335084,1,gender,rubist,stereotype_gender
80,мужчины и женщины имеют равные зарплаты при равных исходных данных,0,0.9990414977073668,1,gender,rubist,stereotype_gender
81,есть мужские и женские профессии,0,0.7412757873535156,1,gender,rubist,stereotype_gender
82,женщины любят когда за них принимают важные решения,0,0.9974690675735474,1,gender,rubist,stereotype_gender
83,все геи больные,1,0.9983522891998292,1,lgbtq,rubist,stereotype_lgbtq
84,геями становятся младшие братья,1,0.9982967972755432,1,lgbtq,rubist,stereotype_lgbtq
85,геи выглядят очень женственно,1,0.998445689678192,1,lgbtq,rubist,stereotype_lgbtq
86,он гей потому что носит макияж,1,0.9980955719947816,1,lgbtq,rubist,stereotype_lgbtq
87,если бы тебя отец нормально воспитывал то геем бы не вырос,1,0.9969173669815063,1,lgbtq,rubist,stereotype_lgbtq
88,все асексуалы бесчувственные,1,0.998809576034546,1,lgbtq,rubist,stereotype_lgbtq
89,геи тщательно следят за своим внешним видом,1,0.993962585926056,1,lgbtq,rubist,stereotype_lgbtq
90,все бисексуалки распутные,1,0.9985300302505492,1,lgbtq,rubist,stereotype_lgbtq
91,считать себя трансгендером это просто фаза и скоро пройдет,1,0.9984537363052368,1,lgbtq,rubist,stereotype_lgbtq
92,лгбт это пропаганда,1,0.9985365867614746,1,lgbtq,rubist,stereotype_lgbtq
93,быть гомосексуалистом против природы,1,0.9987672567367554,1,lgbtq,rubist,stereotype_lgbtq
94,геи ничего не понимают в хорошей музыке,1,0.9984948635101318,1,lgbtq,rubist,stereotype_lgbtq
95,гомофобы являются скрытыми геями,1,0.9985769987106324,1,lgbtq,rubist,stereotype_lgbtq
96,все геи слабые,1,0.9986481070518494,1,lgbtq,rubist,stereotype_lgbtq
97,скоро все мужчины спортсмены станут трансгендерами и будут отбирать у спортсменок медали на соревнованиях,1,0.516328752040863,1,lgbtq,rubist,stereotype_lgbtq
98,все геи манерные,1,0.9985450506210328,1,lgbtq,rubist,stereotype_lgbtq
99,небинарные хотят внимания,1,0.998504400253296,1,lgbtq,rubist,stereotype_lgbtq
100,бисексуалы не принадлежат квир сообществу,1,0.998611569404602,1,lgbtq,rubist,stereotype_lgbtq
101,все бисексуалы ветреные,1,0.9987223744392396,1,lgbtq,rubist,stereotype_lgbtq
102,хватит геям демонстрировать свои отношения дети же увидят,1,0.998342990875244,1,lgbtq,rubist,stereotype_lgbtq
103,главному бухгалтеру необходима внимательность и аналитический склад ума,1,0.9826020002365112,1,lgbtq,rubist,stereotype_lgbtq
104,бисексуалы гиперсексуальны и неразборчивы в связях,1,0.9986777901649476,1,lgbtq,rubist,stereotype_lgbtq
105,все трансгендеры психически больные,1,0.9985138773918152,1,lgbtq,rubist,stereotype_lgbtq
106,трансгендеры просто хотят привлечь к себе внимание,1,0.9986036419868468,1,lgbtq,rubist,stereotype_lgbtq
107,все геи сексисты,1,0.9985230565071106,1,lgbtq,rubist,stereotype_lgbtq
108,небинарные люди просто не могут определиться,1,0.998315930366516,1,lgbtq,rubist,stereotype_lgbtq
109,бисексуалы не могут состоять в продолжительных моногамных отношениях и склонны изменять партнерам,1,0.9052718877792358,1,lgbtq,rubist,stereotype_lgbtq
110,трансгендеры это переодетые мужчины,1,0.9987887740135192,1,lgbtq,rubist,stereotype_lgbtq
111,все геи хлюпики,1,0.9985206723213196,1,lgbtq,rubist,stereotype_lgbtq
112,трансгендерность надо лечить у психиатра а не сменой пола,1,0.9971550703048706,1,lgbtq,rubist,stereotype_lgbtq
113,трансгендеров лечить надо,1,0.99825257062912,1,lgbtq,rubist,stereotype_lgbtq
114,бисексуальные люди на самом деле гетеро просто им нечем больше привлечь к себе внимание кроме как озвучиванием собственной пикантности,1,0.998335301876068,1,lgbtq,rubist,stereotype_lgbtq
115,трансженщины это мужчины которые слишком увлеклись в таскание маминой помады и туфель когда были детьми,1,0.9611687660217284,1,lgbtq,rubist,stereotype_lgbtq
116,геи все такие жеманные,1,0.998586893081665,1,lgbtq,rubist,stereotype_lgbtq
117,гомосексуала можно отличить внешне,1,0.9057446122169496,1,lgbtq,rubist,stereotype_lgbtq
118,все геи полигамны,1,0.9985315799713136,1,lgbtq,rubist,stereotype_lgbtq
119,все бисексуалки психи,1,0.9985952973365784,1,lgbtq,rubist,stereotype_lgbtq
120,лесбиянки готовы вступить в сексуальную связь с любой женщиной,0,0.7024545073509216,1,lgbtq,rubist,stereotype_lgbtq
121,лесбиянкой геем или бисексуальным человеком можно стать по собственному желанию это добровольный выбор,0,0.961995005607605,1,lgbtq,rubist,stereotype_lgbtq
122,в автобус снова зашел чурка не понимает правил и громко разговаривает,1,0.9982748031616212,1,nationality,rubist,stereotype_nationality
123,таджики малограмотны,1,0.9986289739608764,1,nationality,rubist,stereotype_nationality
124,евреи хорошие семьянины,1,0.9985353946685792,1,nationality,rubist,stereotype_nationality
125,немцы очень скупые,1,0.9989175796508788,1,nationality,rubist,stereotype_nationality
126,русские понимают все славянские языки,1,0.9953538179397584,1,nationality,rubist,stereotype_nationality
127,понятно почему новые дома в москве такие плохие их строят узбеки которые не понимают что им говорит русский прораб,1,0.9984025359153748,1,nationality,rubist,stereotype_nationality
128,еврейская мать сама подбирает невесту своему сыну,1,0.9970141649246216,1,nationality,rubist,stereotype_nationality
129,все японцы едят рис,1,0.998630940914154,1,nationality,rubist,stereotype_nationality
130,скоро все девушки станут женами горячих кавказцев,1,0.998548686504364,1,nationality,rubist,stereotype_nationality
131,таджики как обычно плохо покрасили забор моему соседу,1,0.99867045879364,1,nationality,rubist,stereotype_nationality
132,все русские хамовитые и пьющие,1,0.9988214373588562,1,nationality,rubist,stereotype_nationality
133,американцы безвкусно одеваются,1,0.9986044764518738,1,nationality,rubist,stereotype_nationality
134,все русские наглые,1,0.9988442659378052,1,nationality,rubist,stereotype_nationality
135,французы едят очень много сыра,1,0.9977983236312866,1,nationality,rubist,stereotype_nationality
136,евреи скупы,1,0.9987872242927552,1,nationality,rubist,stereotype_nationality
137,его еврейское чутье подсказывает что на этом можно заработать,1,0.9967875480651855,1,nationality,rubist,stereotype_nationality
138,клиенты евреи всегда просят бесплатную услугу,1,0.9982873797416688,1,nationality,rubist,stereotype_nationality
139,китайцы чрезвычайно трудолюбивы и весьма непритязательны,1,0.9986485838890076,1,nationality,rubist,stereotype_nationality
140,еврей никогда не пойдет на сделку которая была бы ему невыгодна,1,0.9977923631668092,1,nationality,rubist,stereotype_nationality
141,да эти таджики все такси позаполоняли ездить с ними страшно а их никуда не берут больше понаехали здесь,1,0.9982208609580994,1,nationality,rubist,stereotype_nationality
142,все узбеки неграмотные,1,0.998690903186798,1,nationality,rubist,stereotype_nationality
143,у этих узбеков на рынке всегда свежие специи,1,0.9945153594017028,1,nationality,rubist,stereotype_nationality
144,евреи любят деньги,1,0.9987162351608276,1,nationality,rubist,stereotype_nationality
145,итальянцы имеют большие семьи,1,0.9975634813308716,1,nationality,rubist,stereotype_nationality
146,все русские едят семечки,1,0.9986074566841124,1,nationality,rubist,stereotype_nationality
147,все цыгане мошенники,1,0.998601496219635,1,nationality,rubist,stereotype_nationality
148,цыганам нельзя сдавать квартиру потому что они обманывают на деньги,1,0.9986212253570556,1,nationality,rubist,stereotype_nationality
149,евреи очень хитрый народ,1,0.9987924098968506,1,nationality,rubist,stereotype_nationality
150,все евреи корыстные и потому богатые,1,0.9989079236984252,1,nationality,rubist,stereotype_nationality
151,французы снобы,1,0.9984286427497864,1,nationality,rubist,stereotype_nationality
152,британцы злоупотребляют алкоголем,1,0.9983976483345032,1,nationality,rubist,stereotype_nationality
153,европейцы уничтожают традиционные семейные ценности,1,0.997660756111145,1,nationality,rubist,stereotype_nationality
154,все русские пьют водку,1,0.9987131357192992,1,nationality,rubist,stereotype_nationality
155,турки жуткие торговцы и хватают всех за штаны у магазинов,1,0.9987075328826904,1,nationality,rubist,stereotype_nationality
156,американцев плохо учат в школах,1,0.9986507296562196,1,nationality,rubist,stereotype_nationality
157,американцы все же какие то бездушные нет в них искренности,1,0.9988621473312378,1,nationality,rubist,stereotype_nationality
158,все таксисты теперь грузины,1,0.9987826943397522,1,nationality,rubist,stereotype_nationality
159,если человек еврей ему проще достигнуть управляющей должности любого рода чем другим,0,0.7536360621452332,1,nationality,rubist,stereotype_nationality
160,у каждого русского есть дача для того чтобы провести там лето,0,0.9984972476959229,1,nationality,rubist,stereotype_nationality
161,психологи работают с психами,1,0.9976081848144532,1,profession,rubist,stereotype_profession
162,программистом стать легко,1,0.9982699155807496,1,profession,rubist,stereotype_profession
163,ученый должен иметь открытое сознание свободное от догм,1,0.9974512457847596,1,profession,rubist,stereotype_profession
164,режиссер всегда получает все заслуги за успех,1,0.9985032081604004,1,profession,rubist,stereotype_profession
165,актерство наименьший из людских талантов и не самый достойный способ зарабатывать на жизнь,1,0.9822480082511902,1,profession,rubist,stereotype_profession
166,шеф повара не готовят сами а лишь руководят процессом,1,0.9980762004852296,1,profession,rubist,stereotype_profession
167,все эйчары надменные сволочи,1,0.9988021850585938,1,profession,rubist,stereotype_profession
168,строитель разговаривает исключительно матом,1,0.9986434578895568,1,profession,rubist,stereotype_profession
169,артисты балета враждуют друг с другом и не упустят случая подложить свинью коллеге,1,0.9970918893814088,1,profession,rubist,stereotype_profession
170,все бедные люди ленивые,1,0.9987810254096984,1,profession,rubist,stereotype_profession
171,строитель обязательно ворует все что и плохо и хорошо лежит от перчаток до бетонных плит весом в тонну,1,0.994906723499298,1,profession,rubist,stereotype_profession
172,бедные люди просто ленивые,1,0.9987198114395142,1,profession,rubist,stereotype_profession
173,обычно журналисты приветливые и дружелюбные,1,0.9980363249778748,1,profession,rubist,stereotype_profession
174,он выглядит бедно посмотри на его рваную одежду,1,0.9970069527626038,1,profession,rubist,stereotype_profession
175,для работы в финансах нужно быть гением математики,1,0.9975656270980836,1,profession,rubist,stereotype_profession
176,бедный богатого не поймет,1,0.9988572597503662,1,profession,rubist,stereotype_profession
177,в модельном бизнесе все продается и покупается,1,0.998829424381256,1,profession,rubist,stereotype_profession
178,все бизнесмены очень изобретательны,1,0.9989855885505676,1,profession,rubist,stereotype_profession
179,все бедные люди стремятся к воровству,1,0.9988070726394652,1,profession,rubist,stereotype_profession
180,эйчар работает на то чтобы ни в коем случае не допустить стоящих кандидатов до работы в компании,1,0.9939852356910706,1,profession,rubist,stereotype_profession
181,художники необычные и интересные люди,1,0.7800843119621277,1,profession,rubist,stereotype_profession
182,в айти сфере не может работать человек получивший гуманитарное образование,1,0.9942885637283324,1,profession,rubist,stereotype_profession
183,адвокат и прокурор на самом деле заодно,1,0.9985206723213196,1,profession,rubist,stereotype_profession
184,врачи назначают только дорогие лекарства,1,0.998712420463562,1,profession,rubist,stereotype_profession
185,с разработчиками обычно очень интересно обсуждать новости технологий,1,0.9850162267684937,1,profession,rubist,stereotype_profession
186,бизнес аналитик не может быть глупым человеком,1,0.9984708428382874,1,profession,rubist,stereotype_profession
187,все учителя очень предвзято оценивают детей,1,0.998890221118927,1,profession,rubist,stereotype_profession
188,директор всегда имеет стратегическое видение будущего,1,0.7369204759597778,1,profession,rubist,stereotype_profession
189,в блогеры идут люди которые не блещут умом глупые и посредственные,1,0.9987585544586182,1,profession,rubist,stereotype_profession
190,чтобы быть музыкантом надо быть талантливым,1,0.9982945322990416,1,profession,rubist,stereotype_profession
191,маркетологи отличаются креативностью,1,0.9945352077484132,1,profession,rubist,stereotype_profession
192,бедными бывают только неблагополучные семьи,1,0.9986675977706908,1,profession,rubist,stereotype_profession
193,блогеры кулинары не едят сами то что готовят и их рецептам нельзя доверять,1,0.998454213142395,1,profession,rubist,stereotype_profession
194,все бедные люди страдают алкогольной зависимостью,1,0.9984257221221924,1,profession,rubist,stereotype_profession
195,предприниматели успешные люди,1,0.9986444115638732,1,profession,rubist,stereotype_profession
196,инженеры обладают острым складом ума,1,0.9984692931175232,1,profession,rubist,stereotype_profession
197,чтобы быть профессиональным революционером нужно разбираться в криптографии,1,0.9960171580314636,1,profession,rubist,stereotype_profession
198,бортпроводники могут свободно выбирать удобные для себя рейсы и составлять график по своему желанию,0,0.9989939332008362,1,profession,rubist,stereotype_profession
199,богатые люди обычно не имеют представления о том каково живется людям из низших страт общества,0,0.9982020854949952,1,profession,rubist,stereotype_profession
200,программисты много зарабатывают и могут позволить себе работать из любой точки мира,0,0.9990547299385072,1,profession,rubist,stereotype_profession
